TheRescuersDownUnder.txt
Nombre; Palabras
Everybody;2
Doctor;171
Announcer;75
scene;334
Bernard;497
Francois;44
scene change;8
Red;53
Wilbur;1120
Cricket;2
Jake;511
Frank;259
Bianca;428
Mom;13
Nursemice;15
Bianca and Bernard;3
Cricket cook;2
Chairmouse;114
Everyone;1
Nursemouse;3
Baitmouse;47
McLeach;1085
Krebbs;83
Faloo;49
Mouse;34
Cody;411
