AladdinIIIAndTheKingOfThieves.txt
Nombre; Palabras
Peddler;27
Aladdin;948
Fat White Man;11
Rasoul and Sa'luk;1
Skinny, Green Man;10
Hakim;30
Abu;24
Triplets;41
Merchant;66
Woman;26
Tall, Fat Man;6
Jasmine;324
Fat, White Man;41
Iago;608
Fazal;56
Both;20
Sultan;194
Skinny, White Man;34
Robot;17
Thor;5
Chorus;51
Triplet;5
Oracle;124
Genie;1680
Rasoul;244
Guards;28
Fat, Asian Man;47
Crowd;16
Thief;8
Sa'luk;533
Guard;28
Thieves;263
Cassim;1072
