MaryPoppins.txt
Nombre; Palabras
Kite Flyers;19
Horse;7
Group;50
Photographer;8
Fox;47
Chimney Sweeps;78
Miss Persimmon;1
Drummer;24
Ellen;87
Jane;592
Dogs;6
Waiters;8
Bert;1703
Umbrella;69
Hunter;11
Director;6
Katie Nanna;46
Admiral Boom;100
Animals;74
Reflection;2
Turtles;4
Waiter;9
Constable;80
Michael;355
Horse Rider;6
Banks Family;35
Mr Binnacle;10
Uncle Albert;502
Crowd;7
Old Woman;8
Guard;20
Mary Poppins;1674
Micheal;10
