Brave.txt
Nombre; Palabras
YOUNG MACINTOSH;14;
YOUNG MERIDA;41;
LORD MACINTOSH;103;
THE CROW;81;
FERGUS;719;
THE WITCH;330;
MERIDA;2015;
LORD MACGUFFIN;92;
LORD DINGWALL;99;
ELINOR;1022;
YOUNG DINGWALL;14;
VOICE IN THE CROWD;4;
