HighSchoolMusical2.txt
Nombre; Palabras
Mrs. Evans;111
Mr. Fulton;1081
Mr. Bolton;339
Sharpettes;5
Jason Cross;64
Ryan Evans;699
Troy Bolton;1389
Gabriella Montez;681
Emma;21
Lea;5
Jackie;11
Troy Evans;10
Sharpay Evans;1639
Everyone;14
Martha Cox;51
Martha Cox and Chad Danforth;2
Chad Danforth;437
Mr. Evans;240
Ms. Darbus;79
Taylor McKessie;295
Troy;4
Mrs. Bolton;23
Zeke Baylor;181
Kelsi Nielsen;412
