Wall-E.txt
Nombre; Palabras
MISC. FEMALE PASSENGER;3;
CEO ADVISOR;7;
EVE;57;
STEWARD;23;
WALL-E;58;
STEWARDS;3;
AUTOPILOT;106;
POOLSIDE PASSENGER;1;
BUY N LARGE CEO;210;
MONORAIL PASSENGERS;1;
NANNY-BOT;24;
JOHN;51;
JOHN & MARY;3;
PASSENGER #2;11;
BEAUTICIAN-BOTS;10;
AUTO;14;
M-O;9;
LIFEGUARD-BOT;4;
MISC. PASSENGERS;18;
BILLBOARD ANNOUNCER;26;
CAPTAIN;710;
SHIP'S COMPUTER;169;
CAPTAIN & EVE;4;
BEAUTICIAN-BOT;12;
MARY;92;
