Up.txt
Nombre; Palabras
CARL;1443
GIRL'S VOICE;47
MUNTZ;544
CARL/RUSSELL;1
MISC DOG;6
CONSTRUCTION FOREMAN TOM;74
VOICE;67
GAMMA;79
YOUNG ELLIE;305
CROWD;1
CONSTRUCTION WORKER STEVE;24
NEWSREEL ANNOUNCER;199
OMEGA;7
RUSSELL;1473
NURSE GEORGE;23
DUG;471
BETA;100
DOG WALLA;55
CAMP MASTER STRAUCH;57
OFFICER EDITH;30
NURSE A.J.;11
YOUNG CARL;4
ALPHA;248
DOGS;21
