Mulan.txt
Nombre; Palabras
Crickee;40
Chi Fu;405
Chi Fhou;3
Parade Leader;13
Shan Yu;199
Chien Po;209
Citizen;3
Yow;6
Fa Li;144
General;91
Shun Yu;1
Mulan;983
Hun;6
Fa Thang;4
Matchmaker;138
Granny Fa;187
Ling;118
Man;33
Both;39
Mushu;2223
Recruit;8
Soldier;33
Emperor;238
Great Ancestor;108
All;56
Fa Zu;79
Fa Zhou;205
Yao;213
Son;9
Hun Archer;7
Guard;38
Soldiers;3
Shang;662
